char,name,replacement,codepoint,mufidecode
p,LATIN SMALL LETTER P,p,70,p
ꝑ,LATIN SMALL LETTER P WITH STROKE THROUGH DESCENDER,ꝑ,A751,p
ꝓ,LATIN SMALL LETTER P WITH FLOURISH,ꝓ,A753,p
q,LATIN SMALL LETTER Q,q,71,q
Q,LATIN CAPITAL LETTER Q,Q,51,Q
ꝗ,LATIN SMALL LETTER Q WITH STROKE THROUGH DESCENDER,ꝗ,A757,q
ꝗ,LATIN SMALL LETTER Q WITH STROKE THROUGH DESCENDER,ꝗ,A757,q
ꝙ,LATIN SMALL LETTER Q WITH DIAGONAL STROKE,ꝙ,A759,q
r,LATIN SMALL LETTER R,r,72,r
R,LATIN CAPITAL LETTER R,R,52,R
ŕ,LATIN SMALL LETTER R WITH ACUTE,r,155,r
ͬ,COMBINING LATIN SMALL LETTER R,ͬ,036C,r
ʳ,MODIFIER LETTER SMALL R,ͬ,02B3,r
ᷣ,COMBINING LATIN SMALL LETTER R ROTUNDA,ͬ,,r
s,LATIN SMALL LETTER S,s,73,s
S,LATIN CAPITAL LETTER S,S,53,S
ś,LATIN SMALL LETTER S WITH ACUTE,s,015B,s
ᷤ,COMBINING LATIN SMALL LETTER S,ᷤᷤ, 1DE4,s
ſ,LATIN SMALL LETTER LONG S,ſ,017F,s
ß,LATIN SMALL LETTER SHARP S,ß,00DF,s
t,LATIN SMALL LETTER T,t,74,t
T,LATIN CAPITAL LETTER T,T,54,T
u,LATIN SMALL LETTER U,u,75,u
U,LATIN CAPITAL LETTER U,U,55,U
ú,LATIN SMALL LETTER U WITH ACUTE,ú,00FA,u
ù,LATIN SMALL LETTER U WITH GRAVE,ù,00F9,u
û,LATIN SMALL LETTER U WITH CIRCUMFLEX,û,00FB,u
ü,LATIN SMALL LETTER U WITH DIAERESIS,ü,00FC,u
Ü,LATIN CAPITAL LETTER U WITH DIAERESIS,Ü,00DC,
ũ,LATIN SMALL LETTER U WITH TILDE,ũ,169,u
V,LATIN CAPITAL LETTER V,V,56,V
v,LATIN SMALL LETTER V,v,76,v
W,LATIN CAPITAL LETTER W,W,57,W
w,LATIN SMALL LETTER W,w,77,w
x,LATIN SMALL LETTER X,x,78,x
X,LATIN CAPITAL LETTER X,X,58,X
y,LATIN SMALL LETTER Y,y,79,y
Y,LATIN CAPITAL LETTER Y,Y,59,Y
ÿ,LATIN SMALL LETTER Y WITH DIAERESIS,y,,
Z,LATIN CAPITAL LETTER Z,Z,005A,Z
z,LATIN SMALL LETTER Z,z,007A,z
ꝰ,MODIFIER LETTER US,ꝰ, A770  ,
᷒,COMBINING US ABOVE,ꝰ,,us
ꝯ,LATIN SMALL LETTER CON,ꝯ,,con
ꝰ,MODIFIER LETTER US,ꝰ,,us
Α,GREEK CAPITAL LETTER ALPHA,Α,391,A
α,GREEK SMALL LETTER ALPHA,α,03B1,a
α,GREEK SMALL LETTER ALPHA,α,,
ἀ,GREEK SMALL LETTER ALPHA WITH PSILI,ἀ,1F00,a
Ἄ,GREEK CAPITAL LETTER ALPHA WITH PSILI AND OXIA,Α,1F0C,A
ά,GREEK SMALL LETTER ALPHA WITH TONOS,ά,03AC,a
ὰ,GREEK SMALL LETTER ALPHA WITH VARIA,ὰ,1F70,a
Β,GREEK CAPITAL LETTER BETA,Β,392,B
β,GREEK SMALL LETTER BETA,β,,
Γ,GREEK CAPITAL LETTER GAMMA,Γ,393,G
γ,GREEK SMALL LETTER GAMMA,γ,03B3,g
Δ,GREEK CAPITAL LETTER DELTA,Δ,394,D
δ,GREEK SMALL LETTER DELTA,δ,03B4,d
δ,GREEK SMALL LETTER DELTA,δ,,
ε,GREEK SMALL LETTER EPSILON,ε,03B5,e
Ε,GREEK CAPITAL LETTER EPSILON,Ε,395,E
ἐ,GREEK SMALL LETTER EPSILON WITH PSILI,ἐ,1F10,e
έ,GREEK SMALL LETTER EPSILON WITH TONOS,έ,03AD,e
ὲ,GREEK SMALL LETTER EPSILON WITH VARIA,ὲ,1F72,e
ϛ,GREEK SMALL LETTER STIGMA,ϛ,03DB,st
ζ,GREEK SMALL LETTER ZETA,ζ,,
η,GREEK SMALL LETTER ETA,η,03B7,e
ἤ,GREEK SMALL LETTER ETA WITH PSILI AND OXIA,ἤ,1F24,e
ἢ,GREEK SMALL LETTER ETA WITH PSILI AND VARIA,ἢ,1F22,e
ή,GREEK SMALL LETTER ETA WITH TONOS,ή,03AE,e
ὴ,GREEK SMALL LETTER ETA WITH VARIA,ὴ,1F74,e
Θ,GREEK CAPITAL LETTER THETA,Θ,398,TH
θ,GREEK SMALL LETTER THETA,θ,03B8,th
Ι,GREEK CAPITAL LETTER IOTA,Ι,399,I
ι,GREEK SMALL LETTER IOTA,ι,03B9,i
ἰ,GREEK SMALL LETTER IOTA WITH PSILI,ἰ,1F30,i
ἶ,GREEK SMALL LETTER IOTA WITH PSILI AND PERISPOMENI,ἶ,1F36,i
ί,GREEK SMALL LETTER IOTA WITH TONOS,ί,03AF,i
ὶ,GREEK SMALL LETTER IOTA WITH VARIA,ὶ,1F76,i
ῖ,GREEK SMALL LETTER IOTA WITH PERISPOMENI,ῖ,1FD6,i
κ,GREEK SMALL LETTER KAPPA,κ,03BA,k
Λ,GREEK CAPITAL LETTER LAMDA,Λ,039B,L
λ,GREEK SMALL LETTER LAMDA,λ,03BB,l
Μ,GREEK CAPITAL LETTER MU,Μ,039C,M
μ,GREEK SMALL LETTER MU,μ,03BC,m
Ν,GREEK CAPITAL LETTER NU,Ν,039D,N
ν,GREEK SMALL LETTER NU,ν,03BD,n
ξ,GREEK SMALL LETTER XI,ξ,03BE,x
ο,GREEK SMALL LETTER OMICRON,ο,03BF,o
Ο,GREEK CAPITAL LETTER OMICRON,Ο,039F,O
ὀ,GREEK SMALL LETTER OMICRON WITH PSILI,ὀ,1F40,o
ὁ,GREEK SMALL LETTER OMICRON WITH DASIA,ὁ,1F41,o
ό,GREEK SMALL LETTER OMICRON WITH TONOS,ό,03CC,o
ὸ,GREEK SMALL LETTER OMICRON WITH VARIA,ὸ,1F78,o
π,GREEK SMALL LETTER PI,π,03C0,p
Π,GREEK CAPITAL LETTER PI,Π,03A0,P
Ρ,GREEK CAPITAL LETTER RHO,Ρ,03A1,R
ρ,GREEK SMALL LETTER RHO,ρ,03C1,r
Σ,GREEK CAPITAL LETTER SIGMA,Σ,03A3,S
σ,GREEK SMALL LETTER SIGMA,σ,03C3,s
ς,GREEK SMALL LETTER FINAL SIGMA,ς,03C2,s
τ,GREEK SMALL LETTER TAU,τ,03C4,t
Τ,GREEK CAPITAL LETTER TAU,Τ,03A4,T
Υ,GREEK CAPITAL LETTER UPSILON,Υ,03A5,U
υ,GREEK SMALL LETTER UPSILON,υ,03C5,u
ύ,GREEK SMALL LETTER UPSILON WITH TONOS,ύ,03CD,u
ὺ,GREEK SMALL LETTER UPSILON WITH VARIA,ὺ,1F7A,u
ῦ,GREEK SMALL LETTER UPSILON WITH PERISPOMENI,ῦ,1FE6,u
φ,GREEK SMALL LETTER PHI,φ,03C6,ph
Χ,GREEK CAPITAL LETTER CHI,Χ,03A7,Kh
χ,GREEK SMALL LETTER CHI,χ,03C7,kh
ω,GREEK SMALL LETTER OMEGA,ω,03C9,o
Ω,GREEK CAPITAL LETTER OMEGA,Ω,03A9,O
ώ,GREEK SMALL LETTER OMEGA WITH TONOS,ώ,03CE,o
ῶ,GREEK SMALL LETTER OMEGA WITH PERISPOMENI,ῶ,1FF6,o
ῳ,GREEK SMALL LETTER OMEGA WITH YPOGEGRAMMENI,ῳ,1FF3,o
ք,ARMENIAN SMALL LETTER KEH,ꝑ,,p
,LATIN SMALL LETTER N WITH MEDIUM-HIGH MACRON (ABOVE CHARACTER),ñ,,n
,LATIN SMALL LETTER P WITH MACRON,p̃,,p
,LATIN SMALL LETTER Q WITH MACRON,q̃,,q
,LATIN SMALL LETTER Q LIGATED WITH FINAL ET,,E8BF,qet
Ꝙ,LATIN CAPITAL LETTER Q WITH DIAGONAL STROKE,Ꝙ,A758 ,
,COMBINING HIGH MACRON WITH FIXED HEIGHT (PART-WIDTH),̃,,
,COMBINING LATIN SMALL LIGATURE AR,,,ar
,LATIN SMALL LETTER LONG S DESCENDING,s,,s
,LATIN SMALL LETTER S CLOSED FORM,s,,s
,LATIN ABBREVIATION SIGN SMALL ET WITH STROKE,⁊,,et
,PUNCTUS ELEVATUS,,,
,LATIN ABBREVIATION SIGN SPACING BASE-LINE US,ꝰ,,us
,LATIN ABBREVIATION SIGN CAPITAL ET WITH STROKE,⁊,F1A7,ET
 ̌,COMBINING CARON,,030C,
◌,DOTTED CIRCLE,,25CC,
 ̶,COMBINING LONG STROKE OVERLAY,-,336,-
ᵉ,MODIFIER LETTER SMALL E,ͤ,1D49,e
ᵍ,MODIFIER LETTER SMALL G  ,g,1D4D,g
ⁿ,SUPERSCRIPT LATIN SMALL LETTER N,n,207F,n
ᵘ,MODIFIER LETTER SMALL U,ͧ,1D58,u
ˢ,MODIFIER LETTER SMALL S,ᷤ,"2,00E+02",s
ᗅ,CANADIAN SYLLABICS CARRIER GHO,A,15C5,A
ᗞ,CANADIAN SYLLABICS CARRIER THE,D,15DE,D
